,plataform,title,gender
0,amazon,The Grand Seduction,Comedy
1,amazon,The Grand Seduction,Drama
2,amazon,Take Care Good Night,Drama
3,amazon,Take Care Good Night,International
4,amazon,Secrets of Deception,Action
5,amazon,Secrets of Deception,Drama
6,amazon,Secrets of Deception,Suspense
7,amazon,Pink: Staying True,Documentary
8,amazon,Monster Maker,Drama
9,amazon,Monster Maker,Fantasy
10,amazon,Living With Dinosaurs,Fantasy
11,amazon,Living With Dinosaurs,Kids
12,amazon,Hired Gun,Documentary
13,amazon,Hired Gun,Special Interest
14,amazon,Grease Live!,Comedy
15,amazon,Global Meltdown,Action
16,amazon,Global Meltdown,Science Fiction
17,amazon,Global Meltdown,Suspense
18,amazon,David's Mother,Drama
19,amazon,Forest Fairies,Adventure
20,amazon,Forest Fairies,Kids
21,amazon,Take Care,Comedy
22,amazon,The Night Eats The World,Horror
23,amazon,The Night Eats The World,Suspense
24,amazon,Resilencia,Documentary
25,amazon,Resilencia,Sports
26,amazon,Elon Musk: The Real Life Iron Man,Documentary
27,amazon,Summer '03,Comedy
28,amazon,Summer '03,Drama
29,amazon,Zoombies,Horror
30,amazon,Zoombies,Science Fiction
31,amazon,Zoo Babies,Kids
32,amazon,Zoo Babies,Special Interest
33,amazon,Zoë Coombs Marr: Bossy Bottom,Comedy
34,amazon,Zoë Coombs Marr: Bossy Bottom,Talk Show and Variety
35,amazon,Zoe,Science Fiction
36,amazon,Zoboomafoo,Kids
37,amazon,Zo Zo Zombie: Mini-Series,Action
38,amazon,Zo Zo Zombie: Mini-Series,Anime
39,amazon,Zo Zo Zombie: Mini-Series,Comedy
40,amazon,Zis Boom Bah,Arts
41,amazon,Zis Boom Bah,Entertainment
42,amazon,Zis Boom Bah,and Culture
43,amazon,Zis Boom Bah,Comedy
44,amazon,Zis Boom Bah,Drama
45,amazon,ZeroZeroZero,TV Shows
46,amazon,Zandalee,Drama
47,amazon,Zambezi: Force of Life,Documentary
48,amazon,Zahara: The Return,TV Shows
49,amazon,Z: The Beginning of Everything,Comedy
50,amazon,Z: The Beginning of Everything,Drama
51,amazon,Yu-Gi-Oh! Zexal,Animation
52,amazon,Yu-Gi-Oh! Zexal,Anime
53,amazon,Yu-Gi-Oh! Zexal,Fantasy
54,amazon,Yu-Gi-Oh! ARC-V,Action
55,amazon,Yu-Gi-Oh! ARC-V,Adventure
56,amazon,Yu-Gi-Oh! ARC-V,Animation
57,amazon,Yu-Gi-Oh! 5D's,Anime
58,amazon,Yu-Gi-Oh! 5D's,Kids
59,amazon,Your Bleeped Up Brain,TV Shows
60,amazon,Young Lovers,Drama
61,amazon,Young Love (at the Sun Factory),Music Videos and Concerts
62,amazon,Young Love (at Bowery Ballroom),Music Videos and Concerts
63,amazon,Young Lions,Drama
64,amazon,Young Lions,Suspense
